timestamp,cpu_usage,memory_usage,disk_usage,service_name
2026-05-27T00:00:00Z,45.2,72.1,82.3,api-server
2026-05-27T01:00:00Z,48.5,75.2,83.1,api-server
2026-05-27T02:00:00Z,52.1,78.5,84.2,api-server
2026-05-27T03:00:00Z,50.8,76.3,85.0,api-server
2026-05-27T04:00:00Z,49.2,74.8,83.9,api-server
2026-05-27T05:00:00Z,51.5,77.1,84.5,api-server
2026-05-27T06:00:00Z,53.2,79.2,85.8,api-server
2026-05-27T07:00:00Z,55.1,81.0,86.5,api-server
2026-05-27T08:00:00Z,57.3,82.5,87.2,api-server
2026-05-27T09:00:00Z,59.8,84.1,88.0,api-server
